存货编号,规格型号,期末
557.0,G-SJEL13-55-P10-W8,1.0
558.0,G-SJEL13-70.00-P10.06-W8.06,1.0
559.0,G-SJEL13-70-P11.05-W6.05,2.0
560.0,G-SJEL13-74-P12.05-W10.03,1.0
561.0,G-SJEL13-80-P7.68-W7.18,3.0
562.0,G-SJEL13-80-P8.08-W6.08,1.0
563.0,G-SJEL13-80-P8.08-W6.08,2.0
565.0,G-SJEL13-80-P8.56-W7.06-SKF5.5,3.0
566.0,G-SJEL13-80-P8.65-W6.75,2.0
567.0,G-SJEL13-90-P8.48-W6.48,5.0
568.0,G-SJEL13-90-P9.0-W7.0,1.0
569.0,G-SJEL13-LC65.00-P8.10-W6.10,1.0
570.0,G-SJEL13-LC65-P8.1-W6.1,1.0
571.0,G-SJEL13-LC86-P7.68-W7.18,6.0
572.0,G-SJEL16-100-P12.0-W7.0,2.0
573.0,G-SJEL16-100-P12.4-W7.08,2.0
574.0,G-SJEL16-60-P12.6-W9.2,4.0
575.0,G-SJEL16-64-P8.4-W6.28,1.0
576.0,G-SJEL16-70-P12-W7,4.0
577.0,G-SJEL16-75-P10.26-W8.76,2.0
578.0,G-SJEL16-82-P14.08-W10.08,2.0
580.0,G-SJEL16-LC95.0-P14.38-W12.08,2.0
581.0,G-SJEL20-85-P12-W7,2.0
582.0,G-SJES10-50-P7-W6.2,1.0
583.0,G-SJES10-60-P6.5-W5.5,1.0
585.0,G-SJES13-80.00-P12.3-W7.10,1.0
586.0,G-SJES13-80-P10-W8.1,4.0
588.0,G-SJES13-80-P12.3-W7.1,1.0
589.0,G-SJES13-80-P12.3-W7.1,1.0
590.0,G-SJES16-50-P10.05-W8.05,2.0
591.0,G-SJES16-50-P10.05-W8.05,2.0
592.0,G-SJES16-67-P11.08-W9.08,1.0
593.0,G-SJES16-80-P11.52-W7.4,1.0
594.0,G-SJES16-80-P11.52-W7.4,1.0
595.0,EKDE22-20-P12.45-W7.3,2.0
596.0,G-SJES16-85-P12-W10,2.0
597.0,G-SJEX10-65-P8.05-W6.55,1.0
598.0,G-SJEX10-77-P8.42-W6.21,1.0
599.0,G-SJEX10-77-P8.42-W6.21,2.0
600.0,G-SJEX10-95-P8.56-W6.58,2.0
601.0,G-SJEX13-80-P12.4-W7.2,1.0
602.0,G-SJEX13-80-P12.4-W7.2,1.0
603.0,G-SJEX13-80-P8.08-W6.05,2.0
604.0,G-SJEX13-80-P8.08-W6.05,3.0
605.0,G-SJEX13-88-P12.08-W7.08,1.0
606.0,G-SJRL10-70-P6.15-W4.65,1.0
607.0,G-SJRL10-95-P9.1-W5.1-R1.0,1.0
608.0,G-SJRL10-95-P9.1-W5.1-R1.0,1.0
609.0,G-SJRL13-50-P8.6-W6.1,1.0
610.0,G-SJRL13-82-P10-W5-R0.5,4.0
611.0,EKSD25-20-P14.24,2.0
612.0,G-SJRL13-95-P9.0-W5.0-R1.0,2.0
613.0,EKSD20-20-P7.3,2.0
614.0,EKSD22-20-P13.20,2.0
615.0,G-SJRL8-70-P6.58-W4.08,2.0
616.0,G-SJRL8-70-P6.58-W4.08-R0.5,3.0
617.0,G-SJRL8-80-P6.5-W4.15-R0.5,4.0
618.0,G-SJRS10-70-P6.15-W4.65-R0.5,1.0
619.0,G-SJRS10-LC53-P6.5-W4.1-R0.3,1.0
620.0,G-SJRS13-50-P9.3-W5.1-R0.5,1.0
621.0,G-SPAS13-LC56-P9.78,1.0
622.0,G-SPEL10-70-P8.8-W6.3,1.0
